recid,Code,Reason
1,BAOFF,BANDS OFF
2,BROKN,BROKEN
3,BRROK,BROKEN & REPAIRED CONT'S OK
4,BRRPD,BROKEN & REPAIRED
5,BURST,BURST
6,CABRK,CASE BROKEN CONTENTS UNKNOWN
7,CHAFE,CHAFED
8,CPOFF,CAP OFF
9,CRACK,CRACKED/SPLITED
10,CRUSH,CRUSHED
11,CVTRN,COVER TORN
12,DEADD,DEAD
13,DEFRM,DEFORM
14,DENTE,DENTED
15,DIRTY,DIRTY
16,EGCUT,EDGE CUT
17,EMPTY,EMPTY
18,HINME,HINMEI
19,ICETC,ICETIC
20,LEAKI,LEAKING
21,MELTT,MELT
22,MISNG,MISSING
23,MKMIX,MARK MIXED OR OTHER MARK MIXED
24,MKOBL,MARK OBLITERATED
25,MOLDE,MOLDED
26,MXCGO,MIXED CARGO
27,NALOS,NAIL LOOSE
28,NAOFF,NAIL OFF
29,NOMRK,NO MARK
30,OTHER,OTHER
31,OVERR,OVER
32,OVSHT,OVERSHORT
33,REPAC,REPACKED
34,RUSTY,RUSTY
35,SCRAT,SCRATCHED
36,SEBRK,SEAL BROKEN
37,SEOFF,SEAL OFF
38,SEROK,SEAL OFF & REPAIRED CONT'S OK
39,SERPD,SEAL OFF & REPAIRED
40,SHIPP,SHIPPERS LOAD & COUNT
41,SHORT,SHORT
42,STAIN,STAINED
43,STALE,STALE
44,STYLE,STYLE
45,UNKNO,CONTENTS UNKNOWN
46,WETTO,WET
