recid,IMO No,Vessel Call Sign,Vessel Name
1,9117129,HSAG2,MV.RATANA THIDA
2,9101510,D5HA7,MV.INNWA STAR
3,9434802,A8SB6,MV.FRISIA ILLER
4,9499022,9V3744,MV.MCC XIAMEN
5,8819976,OWNJ2,MV.MCC HA LONG
6,9248928,V7EK6,MV.FSL SANTOS
7,8813647,9VCS2,MV.MATHU BHUM
8,9324174,CQAE,MV.PACAO
9,9175793,VRDG4,MV.MAERSK ABERDEEN
10,9004243,D5AG3,MV.ANDAMAN STAR
11,9499010,9V3741,MV.MCC SINGAPORE
12,9346562,V2QD4,MV.BC SANFRANCISCO
13,9181742,3FQ28,MV.SINAR BALI
14,8910093,ELRNG6,MV.YANGON STAR
15,8912742,V2MC,MV.ESM CREMONA
16,9378943,9HA4070,MV.MAX CRUSADER
17,9374129,V7LU4,MV.PERLA
18,9132399,PNJU,MV.MOROTAI
19,9132703,J8B5348,MV.WEST SCENT
20,9159086,3FJK7,MV.MAENAM-1
21,9055450,3FFA2,MV.GSS YANGON
22,8909082,H3ZV,MV.NINOS
23,9137129,9VJD,MV.KOTA HASIL
24,9448683,A8YK5,MV.ER TURKU
25,9135092,9VNI,MV.KOTA HARTA
26,9130509,3FHA6,MV.EVER ABLE
27,9081007,D5GF8,MV.IRRAWADDY STAR
28,9106883,HSDI,MV.ANAN BHUM
29,9324162,V7JA9,MV.CAPE FLORES
30,9165803,EPBS3,MV.AYSAN
31,9055448,3FIV3,MV.KUO HSIUNG
32,9106895,HSBB2,MV.BANI BHUM
33,9046423,9V8478,MV.YANTRA BHUM
34,8819990,OXIF2,MV.MCC MERGUI
35,8819988,OXCB2,MV.TOVE MAERSK
36,9146649,D5JU9,MV.SENTOSA STAR
37,9101560,YBKC2,MV.HIJAU SAMUDRA
38,9330862,9HA4077,MV.MAX CONTENDER
39,9202792,9V7837,MV.SINAR SOLO
40,9306251,V20Y4,MV.MAREN S
41,9175808,VRDG6,MV.MAERSK ATLANTIC
42,9072525,9VCU4,MV.YOSSA BHUM
43,9046411,9V8477,MV.XETHA BHUM
44,9064762,A8CG2,MV.PATHEIN STAR
45,9202895,POUB,MV.MERATUS GORONTALO
46,9346574,V2QD3,MV.BC MUMBAI
47,9003471,AUNT,MV.SSL TRUST
48,9081019,3FS26,MV.OEL MALAYSIA
