recid,Code,Name
1,CD,IMPORT/EXPORT CUSTOMS DUTY
2,TD,TRANSIT DUTY
3,RF,REDEMPTION FINE
4,SF,SECURITY FEE
5,DP,DIRECT PENALTY
6,WC,WAREHOUSE CHARGE
7,ER,EXPROPRIATION REVENUE
8,RD,REVENUE DEPOSIT
9,PV,POST VALUATION REVENUE DEPOSIT
10,CT,COMMERCIAL TAX
11,ST,SPECIFIC GOODS TAX
12,AT,ADVANCED INCOME TAX
13,LF,LICENSE FEE
14,ET,EXPORT TAX
15,MF,MACCS SERVICE FEE
16,RE,RETALIATORY DUTY
17,CV,COUNTERVAILING DUTY
18,AD,ANTI-DUMPING DUTY
19,EM,EMERGENCY DUTY (SAFEGUARDS)
20,CO,COUNTER DUTY
21,AR,ARREARS DUTY
22,R,RUBBER
23,C,CUTCH
24,L,LAC
25,O,COTTON 
