Customs formalities code (export import cargo),,,,,,,,
,,,,,,,,
Appendix1,,,,,,,,
,,,,,,,,
System customs clearance type,,,,,,,,
Type,Contents,,,,,,,
,,,,,,,,
ID,Import declaration,,,,,,,
ABP,Application for release before release order,,,,,,,
TBP,tax declaration for release before release order,,,,,,,
IDI,Import declaration (Into Bond),,,,,,,
IDE,Import declaration (Ex-Bond),,,,,,,
IDT,Import declaration (Temporary admission/importation),,,,,,,
IDD,Import declaration (Drawback),,,,,,,
INP,Import declaration (Inward processing),,,,,,,
OUP,Import declaration (Outward processing),,,,,,,
IDR,Import declaration (Re-Importation),,,,,,,
IRR,Import declaration (Repaired and return),,,,,,,
S/O,Import with Special Order,,,,,,,
MIP,Import declaration (Tax exempted small amount clearance),,,,,,,
,,,,,,,,
Type of procedure/permission/approval,,,,,,,,
Type,Contents,,,,,,,
,,,,,,,,
CID,1. Cancel the declaration or application of procedure executed in the system ,,,,,,,
,2. Cancel the direct delivery approval in the system,,,,,,,
MID,"Stop a customs procedure executed in the system, and change to manual",,,,,,,
RMD,Register the information of the customs procedure without system in Cargo information,,,,,,,
OLM,Bonded transportation approval,,,,,,,
OTH,Other carried-out approval,,,,,,,
,,,,,,,,
,,,,,,,,
Appendix2,,,,,,,,
,,,,,,,,
Type of import/export code,,,,,,,,
Type,Contents,,,,,,,
,,,,,,,,
A,Import declaration,,,,,,,
B,Import declaration (Temporary admission/importation),,,,,,,
C,Import declaration (Drawback),,,,,,,
D,Import declaration (Inward processing),,,,,,,
E,Import declaration (Outward processing),,,,,,,
F,Import declaration (Re-Importation),,,,,,,
G,Import declaration (Repaired and return),,,,,,,
H,Import declaration (Into bond),,,,,,,
I,Import declaration (Ex-bond),,,,,,,
S,Import declaration (SO),,,,,,,
J,Import declaration (tax exempted small amount clearance),,,,,,,
K,Direct delivery approval,,,,,,,
